char,male,female
芷,393,1588
夷,392,299
粉,392,2614
鏞,390,59
燎,389,35
苓,388,2026
倪,388,379
昔,387,145
妃,386,1426
筆,386,93
邈,386,122
焜,385,32
媚,384,4343
頭,383,97
廈,382,156
汗,381,129
莘,380,260
舞,380,351
跟,379,69
樊,379,174
萊,379,340
沃,379,38
績,378,107
客,378,201
驪,376,2816
苟,376,29
釧,375,127
璜,375,213
包,375,73
寨,374,68
慷,373,37
揮,373,43
導,372,71
梟,372,52
閏,371,136
稚,370,362
蒲,370,258
船,370,54
寄,370,410
涯,369,156
譚,369,106
壬,369,103
戩,369,51
已,368,148
十,367,144
區,367,55
晰,366,388
潞,365,446
瞳,365,325
鉑,365,56
嶠,363,127
嫣,362,2400
詣,361,107
獎,361,31
而,361,129
及,359,84
取,359,81
峙,358,43
砷,357,176
兮,357,290
奶,354,156
規,354,35
馥,353,932
鑽,352,121
磷,351,249
駕,350,77
候,350,81
戶,349,64
獅,349,44
訪,348,166
傅,347,81
目,347,58
峰,347,7
煙,347,571
具,346,44
識,346,90
敝,346,62
掌,346,75
繪,345,628
事,345,76
筍,344,108
陣,344,33
裴,344,329
旌,343,96
仟,343,157
護,343,42
耐,341,230
硼,340,1470
奪,340,43
藏,339,218
烜,338,54
對,337,91
橫,337,39
酉,337,66
峽,336,349
倬,336,139
入,336,155
戴,335,170
落,334,107
頓,334,88
岫,333,234
沿,333,112
戟,333,54
濃,332,605
熔,329,258
蜂,329,67
過,328,94
屠,327,139
翻,327,359
暄,326,156
咖,326,505
種,325,37
皿,324,160
柔,324,1179
詳,322,41
外,322,130
簡,322,198
蝴,320,220
粟,320,130
補,318,69
綸,317,56
角,317,119
薈,317,937
溥,317,38
等,317,34
梧,316,71
費,315,131
邱,314,182
舵,313,28
嚇,313,227
下,313,91
溯,312,121
吐,311,156
熱,310,146
魚,310,284
錳,309,27
尾,309,235
措,309,258
瓤,308,675
甄,307,358
芃,307,232
蓋,307,57
尖,307,46
受,306,48
鄉,305,168
戀,304,1171
韞,304,526
鎬,303,11
茲,303,98
獲,303,381
途,302,34
龐,302,30
鋆,300,115
夜,300,372
儲,300,59
昉,298,186
皋,298,32
焦,298,204
莫,296,245
比,296,137
鉅,295,13
頎,294,142
企,294,85
梨,294,900
出,294,68
抒,293,403
騎,292,24
殉,291,325
閱,290,213
遇,289,123
櫻,289,1980
薦,289,59
釵,288,1137
崔,287,140
黑,287,87
羚,286,899
域,286,61
鵠,286,59
繩,286,23
喧,286,392
圭,284,76
楞,282,79
各,282,116
因,282,164
謨,281,25
汛,281,88
呼,280,60
矗,280,95
窯,279,65
偵,279,127
猷,278,38
寵,278,72
栗,278,186
戚,277,39
芙,276,2327
索,276,165
橙,275,288
漲,275,17
珣,274,231
服,274,61
件,273,48
堤,273,65
綏,272,101
芊,272,821
醫,271,122
洙,271,13
羨,269,273
潑,269,21
朦,268,905
鋅,268,89
漳,268,15
擴,268,12
稱,268,113
湧,267,19
住,267,49
諭,266,183
堆,266,8
紋,265,498
針,265,247
圻,265,89
翮,265,86
泮,265,56
冷,264,374
丘,264,58
臬,264,73
眉,264,1062
澗,263,73
兔,262,88
內,261,61
渡,261,48
祈,260,93
穎,260,564
聳,259,36
諍,259,167
玻,259,35
惜,259,759
紳,258,23
塘,258,79
扶,257,43
